LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../submit_files/condorfiles/LO/result_WR2000_N200/WRtoNLtoLLJJ_WR2000_N200.log,0.1268,0.001279,../submit_files/condorfiles/NLO/result_WR2000_N200_NLO/WRtoNLtoLLJJ_WR2000_N200_NLO.log,0.1587,0.00015,1.251577287066246
../submit_files/condorfiles/LO/result_WR2000_N300/WRtoNLtoLLJJ_WR2000_N300.log,0.126,0.001978,../submit_files/condorfiles/NLO/result_WR2000_N300_NLO/WRtoNLtoLLJJ_WR2000_N300_NLO.log,0.1551,0.00017,1.2309523809523808
../submit_files/condorfiles/LO/result_WR2000_N400/WRtoNLtoLLJJ_WR2000_N400.log,0.1224,0.001905,../submit_files/condorfiles/NLO/result_WR2000_N400_NLO/WRtoNLtoLLJJ_WR2000_N400_NLO.log,0.1502,0.00015,1.227124183006536
../submit_files/condorfiles/LO/result_WR2000_N500/WRtoNLtoLLJJ_WR2000_N500.log,0.1165,0.001778,../submit_files/condorfiles/NLO/result_WR2000_N500_NLO/WRtoNLtoLLJJ_WR2000_N500_NLO.log,0.1447,0.00014,1.2420600858369097
../submit_files/condorfiles/LO/result_WR2000_N600/WRtoNLtoLLJJ_WR2000_N600.log,0.1092,0.0009831,../submit_files/condorfiles/NLO/result_WR2000_N600_NLO/WRtoNLtoLLJJ_WR2000_N600_NLO.log,0.1385,0.00013,1.2683150183150185
../submit_files/condorfiles/LO/result_WR2000_N700/WRtoNLtoLLJJ_WR2000_N700.log,0.1051,0.001443,../submit_files/condorfiles/NLO/result_WR2000_N700_NLO/WRtoNLtoLLJJ_WR2000_N700_NLO.log,0.1315,0.00012,1.2511893434823977
../submit_files/condorfiles/LO/result_WR2000_N800/WRtoNLtoLLJJ_WR2000_N800.log,0.0985,0.001308,../submit_files/condorfiles/NLO/result_WR2000_N800_NLO/WRtoNLtoLLJJ_WR2000_N800_NLO.log,0.1235,0.00012,1.2538071065989846
../submit_files/condorfiles/LO/result_WR2000_N900/WRtoNLtoLLJJ_WR2000_N900.log,0.08977,0.0005226,../submit_files/condorfiles/NLO/result_WR2000_N900_NLO/WRtoNLtoLLJJ_WR2000_N900_NLO.log,0.1145,9.8e-05,1.2754817867884594
../submit_files/condorfiles/LO/result_WR2000_N1000/WRtoNLtoLLJJ_WR2000_N1000.log,0.08204,0.0005829,../submit_files/condorfiles/NLO/result_WR2000_N1000_NLO/WRtoNLtoLLJJ_WR2000_N1000_NLO.log,0.1045,9.5e-05,1.2737688932228182
../submit_files/condorfiles/LO/result_WR2000_N1100/WRtoNLtoLLJJ_WR2000_N1100.log,0.07385,0.0005875,../submit_files/condorfiles/NLO/result_WR2000_N1100_NLO/WRtoNLtoLLJJ_WR2000_N1100_NLO.log,0.09391,8.1e-05,1.2716316858496952
